,tag,val
0,CIRCLE K,0
1,CÔNG TY TNHH THỂ THAO ĐƯỜNG PHỐ,1
2,HỘ KINH DOANH CÀ PHÊ TRẠM THÀNH THỊ,2
3,SAKUKO,3
4,PHÚC LONG,4
5,SÓI BIỂN,5
6,CƠM CHAY MANI,6
7,HAHA CHICKEN,7
8,LOTTE,8
9,PARIS BAGUETTE,9
10,VISSAN,10
11,CÔNG TY TNHH QUỐC TẾ LÊ KIÊN,11
12,LAHA COFFEE,12
13,NHÀ HÀNG LONG BÉO,13
14,SHARETEA,14
15,ỐC ĂN VẶT THÀNH CÔNG,15
16,COOP FOOD,16
17,CỬA HÀNG CÀ PHÊ SÀI GÒN,17
18,GENSHAI SUPERMARKET,18
19,HỘ KINH DOANH KIỀU OANH,19
20,EFFOC COFFEE,20
21,LAVIDA COFFEE,21
22,MINISTOP,22
23,BÁNH SU QUE,23
24,KOFI KAI COFFEE,24
25,ROUTINE,25
26,SÚP CUA HOA,26
27,THẾ GIỚI HÀU,27
28,CHÁO ẾCH SENTOSA,28
29,ELLA'S STORE,29
30,GONG CHA,30
31,HOÀNG YẾN,31
32,ICOOL KARAOKE,32
33,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN,33
34,3 SẠCH,34
35,TRÀ SỮA EARL TEA,35
36,TWITTER BEANS COFFEE,36
37,DON CHICKEN,37
38,FEELING TEA,38
39,KOI,39
40,PASSIO,40
41,TRUNG NGUYÊN,41
42,DISCOVERY CORNERS COFFEE,42
43,TÙNG BOOK COFFEE,43
44,KFC,44
45,TOOCHA,45
46,ILOVEKEM,46
47,NHA KHOA HẢI ÂU,47
48,QUÁN ĂN GIA ĐÌNH,48
49,YIFANG,49
50,CÔNG TY CỔ PHẦN FC & KMEAT VIỆT NAM,50
51,RIRO MILKTEA,51
52,THE PIZZA COMPANY,52
53,CÔNG TY CỔ PHẦN THẾ GIỚI PHỤ NỮ,53
54,GOGI,54
55,PET'S HOME,55
